Models,Return
1,252.05917670832252
2,243.32927071612315
3,280.47578887819486
4,194.9539733407555
5,286.1551174043056
6,275.6322517148254
7,94.99553265854104
8,173.48640521809435
9,144.9393733250719
10,241.33104798905347
11,195.7087827626316
12,234.73986783249313
13,140.08036691944528
14,247.99811187918064
15,64.01810473440241
16,200.59266515298222
17,91.85469587394437
18,45.9530097878191
19,311.6661051582406
20,183.90351154040724
21,342.30345991296673
22,383.17769247312253
23,122.01223298256144
24,266.4973633349024
25,107.69665750725682
26,76.27237175832842
27,209.9151374311008
28,85.02755748688386
29,160.37759531433747
30,57.70519103229625
31,77.28274625301947
32,135.25648937266644
33,56.86865080403494
34,116.39120464277406
35,32.23120645903855
36,331.03394556199055
37,210.60446811982388
38,312.0699484266333
39,183.11462678496298
40,166.60527685148364
41,267.56808382109074
42,63.92720994924938
43,278.1685876652257
44,52.00097307102922
45,167.76500390673218
46,318.86862101114934
47,343.50884954882883
48,367.46621986234436
49,107.58545656103878
50,291.74707746884724
51,76.29253265161876
52,344.4997226550311
53,216.78632162722673
54,357.1059532394957
55,318.98565278468664
56,229.97857318363967
57,214.45851279878423
58,43.37374182698049
59,331.511960043976
60,310.08561409345486
61,245.3694348730831
62,155.52292028724196
63,325.74366295163225
64,250.3876882207042
65,172.22133892178533
66,323.55033457936145
67,230.6826482162148
68,305.4469088418408
69,78.0669669978986
70,224.87831381855608
71,173.81082697397198
72,309.85370387928407
73,289.1315286245148
74,335.4052047594995
75,264.4498893544236
76,203.04590897732047
77,277.1568343072684
78,243.33938008272085
79,77.9081137250516
80,54.003363222927206
81,354.5788548364259
82,191.89650557935494
83,234.23275975312004
84,267.01968945160445
85,340.86034237748083
86,328.0687062709305
87,97.88882510125806
88,87.37931016286305
89,46.05203008895364
90,171.36311500047395
91,171.36113679954707
92,129.7363064538458
93,88.05595324932838
94,317.6258350998852
95,83.11742348855375
96,271.42075637578404
97,348.27253820802025
98,194.04903241314128
99,184.71236916184012
100,53.79941463639729
101,119.7082700322694
102,328.297020124333
103,149.43445749866115
104,350.44251773788375
105,110.36922998357525
106,140.3590795514731
107,106.51196348119021
108,317.7741153964565
109,70.56989085453223
110,302.67488872247407
111,214.4555969077128
112,229.11700467891455
113,136.08047009946463
114,208.74315173858972
115,146.656995528947
116,306.4287438473025
117,118.25569198169634
118,49.27140925622831
119,198.41374334354327
120,241.50356940559328
121,57.54673081512186
122,60.79634498133797
123,318.54136322841873
124,321.17148084868177
125,310.3139342920205
126,186.38940843380334
127,193.53944638971214
128,91.35061630660579
129,256.23018555295545
130,222.24761876561567
131,186.1842703287291
132,334.4511492369975
133,292.6266162966491
134,312.5764735723803
135,169.73147238882711
136,66.95777216063819
137,105.4698994422721
138,133.38819156918737
139,139.0529534051527
140,219.2154469107332
