Models,Return
1,251.98028354176506
2,243.41709756823084
3,281.79207768586497
4,195.11433732048
5,286.91510392278184
6,276.9162309812341
7,91.99336387828214
8,171.7766079923886
9,140.619603051447
10,242.12233002013957
11,195.81794314211513
12,233.17138232761374
13,138.85156793492982
14,248.38939376670777
15,58.04303458537054
16,200.23750691431312
17,87.70108336483602
18,40.172500902605755
19,313.0703973386949
20,181.92579948133005
21,343.8207906354084
22,384.28959928799503
23,119.40031808136939
24,267.120233832565
25,104.41708506908307
26,70.38431039866242
27,209.61608040073676
28,79.17667516540695
29,157.46401865033627
30,52.14543181107514
31,72.23083745027438
32,131.49468297038726
33,50.5768986219506
34,113.02003533653316
35,25.445557551404647
36,332.5358478760818
37,211.33134162786882
38,313.54068131423577
39,181.067472819814
40,164.03611084854552
41,268.7660341749746
42,59.08130246290863
43,279.4724944506381
44,44.95795375052141
45,166.69583382794065
46,320.3174595294389
47,345.1102289146762
48,368.7685355498888
49,104.97488145560794
50,292.97235684393786
51,69.8912548557156
52,345.866055147023
53,216.58854946266848
54,358.66372318602777
55,320.48732375279985
56,228.17310168454847
57,213.00254972110827
58,35.97387514320712
59,333.00149134110563
60,311.54237403122664
61,246.4581093139819
62,154.34587113655328
63,327.27746120267705
64,251.42682702978664
65,172.20441934811276
66,325.0541747234627
67,231.08316047166232
68,306.8046855876824
69,72.09786037725306
70,225.65652147428844
71,173.61536090439827
72,311.2734792671823
73,290.46324112339755
74,336.9388213372518
75,265.6693490221066
76,203.3824697754387
77,278.43954454355696
78,243.60333725114745
79,73.99542886163258
80,48.83835088650875
81,355.63895265815165
82,189.90075402847043
83,235.04887345242895
84,267.8471874142905
85,342.4539287652065
86,329.5076981484931
87,93.08810086062222
88,82.30642105509209
89,39.00730875464797
90,170.13418158090184
91,170.79783780558267
92,126.44126193919288
93,84.23575571118143
94,319.0451122327411
95,79.67802798536604
96,271.80120119991915
97,349.3867350594673
98,194.5914211654241
99,182.81747518683974
100,47.68864688374936
101,117.33847537602992
102,329.77473227378937
103,147.79243934600004
104,351.70876619136715
105,107.07973877163187
106,137.96013952056907
107,100.36556311496426
108,319.24126304149786
109,66.20699207903579
110,304.1041023721767
111,213.73014405127373
112,227.23701229135088
113,133.62545806977585
114,209.32930844029116
115,143.08631794693713
116,307.8604662861683
117,115.18177148819589
118,43.5986616708353
119,197.62690591974263
120,242.02524541274315
121,52.0455056171479
122,55.39529848200498
123,319.8712874394489
124,322.3967927547221
125,311.65528770822135
126,185.57740730923632
127,193.96067034510912
128,86.63066779839663
129,257.2241665316282
130,222.78957753269333
131,181.9719895061229
132,335.8445824018546
133,294.0060277246395
134,313.9853496412828
135,168.26468754611636
136,62.013889171829085
137,102.25098190979796
138,131.68310653984733
139,135.3751132227256
140,217.05418832447972
141,130.8587703327499
142,299.3648871246509
143,289.786622457772
144,222.02582363255692
145,322.693862559401
146,108.06745272871159
147,277.86324629298514
148,121.31042191137097
149,248.74165977762408
150,179.28479648878468
151,112.85124167328121
152,337.6727233377169
153,218.66481962719416
154,318.3398732790337
155,218.33781710507185
156,20.642687345234148
157,123.08336073240316
158,114.70328171813382
159,237.3739319793714
160,121.9521010380659
161,245.14344378914532
162,263.82378849566135
163,342.37762678909723
164,214.60962946982877
165,254.1085382130495
166,163.47203679103285
167,265.30933332518595
168,115.86716349088059
169,324.16959309002635
170,119.78157324444635
171,105.91839122084264
172,208.83884416292943
173,20.241762843659092
174,358.74310312175055
175,243.61149962202842
176,357.06006845461775
177,354.5794042238323
178,280.7646103745162
179,331.9880097755089
180,340.3725283482721
181,76.23436288957294
182,118.19472084991921
183,369.6156512505562
184,209.76146160309588
185,259.3448112500526
186,294.6686291552855
187,144.88050797286888
188,141.04953761225843
189,382.0683265584778
190,142.47717567175766
191,287.9774727880166
192,161.42694933873537
193,317.6134712885413
194,273.9134294443331
195,253.30574235749089
196,211.00071184370933
197,358.7420111132824
198,271.1474307578602
199,24.397739135607296
200,163.94261267865934
201,116.54687060835329
202,243.42508120580936
203,217.3188916552222
204,225.88412256829287
205,232.0977699672857
206,20.980970147332407
207,207.46060397450907
208,118.17938715523617
209,278.64001480259043
210,240.98376933982703
211,316.8233082144057
212,235.86785496686656
213,103.66298910195627
214,215.88367302392942
215,188.94879277564473
216,383.72504285072426
217,89.27118539380598
218,40.386816731496054
219,192.3027377802571
220,109.0710421059837
221,386.98392815041694
222,88.02669587529998
223,340.06695689330513
224,254.82328294687616
225,296.00553933165634
226,196.24575201271287
227,66.95088002245325
228,355.3298418437339
229,210.89641991383354
230,306.22149652493965
231,338.5950152597825
232,346.38616060451443
233,313.308863245592
234,327.1885247944184
235,270.0865997959452
236,81.68501151259368
237,250.05253052852623
238,154.8710121639092
239,184.2031661988158
240,21.294895866570627
241,274.4260085590098
242,319.4282084930538
243,126.2224973602999
244,179.99731301287318
245,106.81036984295145
246,89.86154658761201
247,219.64771701599003
248,152.16382999848594
249,276.6708298623432
250,304.4838641776256
251,70.71296781189555
252,280.2082984706864
253,263.77190168010804
254,262.3786037937124
255,225.1042976971729
256,165.28148540021564
257,245.22400932017538
258,20.506341281770894
259,232.9576609075853
260,355.90509130229987
261,167.37228888160388
262,77.0418021030654
263,90.78216507606837
264,382.98589644273335
265,167.14803749359882
266,385.90885001493837
267,157.1181402895761
268,126.10288472752434
269,246.33472132202027
270,281.4403677873946
271,98.14505031124729
272,122.38968011030617
273,255.74533558468863
274,353.54563105084605
275,195.97462744762447
276,87.62149012910314
277,200.70169134852085
278,297.42622527811454
279,63.389491509757555
280,266.56401915314643
281,392.819752841998
282,168.58998831255593
283,305.1237789444391
284,294.4366746904422
285,237.55604873743556
286,357.2307208987613
287,116.31373520219572
288,342.4924627396732
289,67.24302954804106
290,282.19503344557245
291,202.46215961985922
292,216.17924969077856
293,291.87186664236157
294,257.81813012799233
295,191.5770960379286
296,181.21620726842292
297,88.24600097736388
298,271.5476566954437
299,236.37914930261414
300,89.10846695697595
301,219.4340342558992
302,359.45757337011173
303,163.5832213300486
304,146.79502876039047
305,32.37483300068739
306,118.82023097952236
307,171.0432014216495
308,213.17189201031798
309,144.12908684727367
310,259.8468735845066
311,141.52845145848607
312,243.12185031166237
313,98.3283427548585
314,251.1723264408582
315,73.08594655943509
316,246.11621907913639
317,241.4129197429671
318,99.88380317663982
319,77.44439532220349
320,164.5550052715633
321,324.1468353538625
322,375.15709724038646
323,226.7456009783182
324,324.52838788924544
325,207.41257449261062
326,343.4576371449048
327,264.3027175050326
328,114.69568637349514
329,249.79928479420863
330,139.17426440758697
331,44.822134790084036
332,197.00555259301228
333,213.38772258939147
334,98.4203718789487
335,65.48520299608903
336,208.56480437618754
337,139.35605446207038
338,192.3895877417208
339,312.802099283247
340,344.59288048663245
341,68.66065360697132
342,31.659645392753156
343,27.539700566468937
344,148.6523255088368
345,38.99376502297704
346,260.5508543482001
347,109.76484623923113
348,383.2416017953656
349,191.65601119902723
350,140.87135976001554
351,121.48611561795465
352,161.6713646098922
353,205.8549076206475
354,199.18705431982147
355,191.21979453669786
356,305.09886795220086
357,238.04673273889043
358,331.79208227794743
359,262.7987169541164
360,184.43394167552913
361,259.7944565496685
362,262.697764230243
363,246.04941600607822
364,273.544804758955
365,262.21432321546666
366,238.07364304924278
367,168.0609942438947
368,299.52806620403135
369,263.5707101271771
370,369.18086959858834
371,37.45585599842408
372,244.7469251064549
373,228.72749364054957
374,158.25490122673096
375,239.91931797696049
376,169.03094519889865
377,134.2322448588784
378,58.45483957224961
379,247.46735545132233
380,34.27436784223406
381,195.0504244865636
