Models,Return
1,252.10640953569413
2,242.94351568046957
3,270.9286767634541
4,194.47275042534605
5,282.9698696323697
6,267.0670565377319
7,99.21246541495395
8,176.64458734223635
9,148.8700751640107
10,237.89246183138482
11,195.40841188694782
12,237.50198963822837
13,142.92567807905073
14,246.55632303208864
15,66.98292683945729
16,201.57257217360478
17,95.93607140032458
18,49.18436403374281
19,298.16891995027817
20,187.2445432368919
21,326.8725358352848
22,359.70346948476526
23,125.97995648411721
24,264.027285110601
25,111.84987474980818
26,79.29310759565834
27,210.72042706370695
28,88.06879949630144
29,164.28663327204185
30,61.074099481289046
31,80.96991494187338
32,139.30567780321286
33,59.52270296643075
34,120.50889964394966
35,34.44095665848368
36,316.79932493150744
37,207.16013978757735
38,300.6144081943658
39,186.51140169676194
40,170.36897870456448
41,260.5586522743951
42,67.79430832731953
43,268.74533219228204
44,53.72050663989033
45,170.21796899749634
46,309.8797984414918
47,330.4017189763894
48,346.91801812625584
49,111.64371191862881
50,285.24592652861463
51,78.76325791221299
52,326.7605034830161
53,217.3118281797854
54,340.6118459417748
55,308.2369407060797
56,233.0016094190806
57,217.17527640184016
58,44.61270321678529
59,316.9510326178666
60,298.3856418294042
61,238.76999045524107
62,158.19592888090335
63,314.18299471929646
64,244.93800590754068
65,172.38731895594032
66,310.61346256343325
67,229.23982370478453
68,291.9503914978356
69,81.00505439883116
70,221.3201309444177
71,174.5103796132611
72,300.999204130794
73,280.83941303909546
74,321.27482887551594
75,256.4686326026173
76,201.86550966638475
77,268.9449366069891
78,242.38070451298177
79,82.13063576383317
80,57.70616923401849
81,333.21948663177864
82,195.22116773521446
83,230.53336092048016
84,263.4830650557418
85,328.12971899188966
86,313.04842482367263
87,101.68076023433152
88,91.03063634202536
89,47.804282626415684
90,174.00947782365157
91,172.9377388457764
92,133.80463571137395
93,92.24604545607055
94,309.13266945583786
95,87.4079610448286
96,269.92864014244293
97,327.8829819466012
98,191.6894041838203
99,187.98368163110527
100,56.661636789133595
101,123.5988789544073
102,313.93722395685404
103,152.6559774754194
104,331.1355007203488
105,114.51034141027529
106,144.1478173515148
107,109.22656445731516
108,308.296214704179
109,74.663857298981
110,292.21599357884196
111,216.11613655353204
112,232.2122011026221
113,139.9153449360755
114,206.30493432125115
115,150.6918817198828
116,296.93115030835406
117,122.34562733505832
118,52.58250964672359
119,200.2618494305121
120,239.5305169299783
121,60.965768438832285
122,64.28367573033655
123,303.0791668820095
124,304.2812711726513
125,302.7765838962783
126,188.34235943868313
127,191.91296891981386
128,95.19716909739684
129,251.4065865649041
130,220.15048788093617
131,190.11578286398765
132,318.06446300651737
133,282.7078093382728
134,299.04030636456037
135,172.66538385928433
136,70.74899179601984
137,109.632633775816
138,136.7697773341496
139,143.1004939616417
140,222.57337951639443
141,137.39011702881365
142,285.5451196753326
143,283.276370244956
144,219.25499896387305
145,307.2907502024761
146,115.5804955959193
147,269.83146938751037
148,128.04662019546612
149,240.1149764833695
150,184.6131461619155
151,120.07917235274265
152,322.69405781679916
153,217.9615293854298
154,302.65956492546866
155,218.7882824712912
156,29.41771367116407
157,127.5272477417046
158,121.3339574490265
159,232.05323631077178
160,129.2007730789731
161,238.33677969058272
162,257.5847696026802
163,322.55598967317155
164,216.1938105699524
165,248.30249402451128
166,168.01518705739653
167,259.62311942030624
168,123.64762230747367
169,306.21100790241076
170,126.66600974350013
171,113.17062199758762
172,209.738030315932
173,28.98886623347934
174,335.6998644896574
175,236.36893845052367
176,339.9312460127313
177,336.1806577257082
178,277.60092737285504
179,315.70857399707
180,324.12800643135074
181,84.34181366450933
182,126.47893418564806
183,344.7268638750322
184,211.51387683358774
185,257.3327653291079
186,284.73970366124826
187,148.898368199094
188,147.21610000444042
189,357.5641321939973
190,147.12115588393388
191,278.99676284579635
192,167.52752018582368
193,300.5155274828246
194,267.43106864989534
195,251.1945867845093
196,208.89777191204524
197,341.0772487105022
198,259.72136166647033
199,33.329322087766414
200,170.54020159182184
201,122.07608647305861
202,237.69138415912676
203,217.23088257416933
204,222.99234057019208
205,230.40177793331443
206,29.617546730019946
207,205.66705586779062
208,125.68158796511447
209,273.13624142580295
210,238.7037704147141
211,302.8806380282091
212,230.03883703041157
213,109.86953699438362
214,216.2502350032023
215,192.70103695289927
216,360.2707962487641
217,97.63585619809118
218,49.339062705497106
219,192.08609179291028
220,117.20185447232502
221,362.4384149065277
222,95.14831809213084
223,324.32868098414303
224,246.60746070560117
225,283.7852463187779
226,201.64543741917183
227,75.45643760841722
228,333.7461102992505
229,216.94400288903847
230,293.5346651301977
231,324.2321025651792
232,327.0194827847326
233,299.33250556932717
234,315.2899726991777
235,262.89228600012177
236,89.62523237191735
237,241.94072143967946
238,159.74543402659754
239,184.5123005898041
240,30.009865606123945
241,263.97530555598837
242,303.30744955881397
243,132.09511724300356
244,182.97741964418415
245,115.66417296897012
246,98.38856590200587
247,216.8726354507646
248,156.66880229672174
249,272.11847283885106
250,296.64273085071585
251,79.4028916829817
252,270.2247327019513
253,258.8356099448433
254,257.46193194968305
255,222.01311274231503
256,171.95752651945762
257,239.22512310142133
258,29.143054817644522
259,228.98152748227227
260,337.9172977439102
261,170.792806257765
262,84.93087565595081
263,97.56285788839568
264,359.33899163532715
265,169.00109838269427
266,360.4333373148958
267,160.80196019731224
268,134.37177485805876
269,247.55790709075578
270,278.6194247828553
271,105.34336375323436
272,130.7518888830015
273,247.96827738219784
274,335.37707215529247
275,194.17583386849452
276,95.69901921349363
277,199.59881850036578
278,291.6988029468676
279,72.18255930727796
280,259.5411837237527
281,364.812653012561
282,174.21605143004012
283,291.5215556436839
284,280.1239214758139
285,232.11447284562237
286,336.53244167423645
287,124.50771251838589
288,326.47100709306676
289,75.3936729064975
290,272.5058299521346
291,201.48588486944968
292,214.24138529815332
293,280.963650645656
294,253.25484748993208
295,196.8852500744734
296,181.6572979874465
297,95.69314942588304
298,262.594242056551
299,234.50704655840735
300,97.82476092717376
301,221.5191165316036
302,340.4969356405658
303,170.42390613735478
304,151.87156157205342
305,41.31134963227014
306,124.61605808881714
307,171.74217296347433
308,212.2305056532365
309,148.71946731976956
310,253.35602484116473
311,146.93855613745836
312,237.46643055258437
313,104.94343360251408
314,244.107253109126
315,81.97500961310729
316,239.5586324585932
317,235.64751143273529
318,108.20218699524075
319,85.76059050114239
320,168.20114127744068
321,306.25359612465047
322,351.9592401709808
323,221.3851892482043
324,311.03336689271526
325,206.66988182402264
326,328.85903479402555
327,254.36879381947267
328,122.21207218751069
329,246.32943978273767
330,143.13020175902287
331,53.81176980386963
332,201.3889615099069
333,216.76957799473874
334,105.38498965365281
335,74.09487206016031
336,212.6018138167738
337,143.05871054360634
338,189.96538506607956
339,300.79666544668214
340,327.20367311412343
341,76.90127807025677
342,40.587833099823534
343,36.47040995915276
344,157.174960911356
345,47.96934836534016
346,252.3189874844096
347,117.46402962088919
348,359.7232323409151
349,197.0313042477817
350,145.30583905499765
351,126.16910201511737
352,163.15124393387896
353,206.9528486768141
354,203.25860544728462
355,197.2792203558588
356,292.13819021508243
357,239.50798557447743
358,316.44219052350115
359,255.12374208773457
360,188.17288185314803
361,253.82400193985833
362,253.5041888304264
363,248.73904354490054
364,263.37997412922533
365,254.12338626330623
366,235.5667199575121
367,172.20300671471404
368,290.17130283541246
369,260.8125374120329
370,347.4825423998694
371,46.488486289672664
372,241.99536867000728
373,226.55105274646337
374,162.57646131964816
375,241.6068203553826
376,172.01878739619994
377,140.97831274658776
378,67.24978436411459
379,243.48451304731333
380,43.29755806920446
381,194.398013089216
382,78.14555675507056
383,213.95141468915745
384,309.297166989787
385,194.0825896879776
386,42.35208318654887
387,260.4945403533263
388,176.11763225708455
389,100.34953908767321
390,364.21828015358403
391,356.12394236231086
392,88.710669858263
393,159.21691352987995
394,192.89232743513628
395,248.50849944579326
